island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,Decision
Biscoe,41.6,18.0,192,3950,male,Adelie
Dream,36.0,17.9,190,3450,female,Adelie
Biscoe,49.8,16.8,230,5700,male,Gentoo
Dream,46.1,18.2,178,3250,female,Chinstrap
Biscoe,46.1,15.1,215,5100,male,Gentoo
Torgersen,38.6,17.0,188,2900,female,Adelie
Biscoe,42.6,13.7,213,4950,female,Gentoo
Biscoe,46.6,14.2,210,4850,female,Gentoo
Biscoe,49.8,15.9,229,5950,male,Gentoo
Torgersen,38.6,21.2,191,3800,male,Adelie
Biscoe,46.8,16.1,215,5500,male,Gentoo
Biscoe,45.5,15.0,220,5000,male,Gentoo
Dream,36.9,18.6,189,3500,female,Adelie
Dream,49.5,19.0,200,3800,male,Chinstrap
Dream,45.9,17.1,190,3575,female,Chinstrap
Biscoe,35.0,17.9,192,3725,female,Adelie
Biscoe,46.5,14.4,217,4900,female,Gentoo
Torgersen,43.1,19.2,197,3500,male,Adelie
Biscoe,50.4,15.7,222,5750,male,Gentoo
Dream,37.0,16.5,185,3400,female,Adelie
Dream,36.0,17.8,195,3450,female,Adelie
Biscoe,40.9,13.7,214,4650,female,Gentoo
Torgersen,35.2,15.9,186,3050,female,Adelie
Dream,36.8,18.5,193,3500,female,Adelie
Dream,37.5,18.5,199,4475,male,Adelie
Torgersen,38.9,17.8,181,3625,female,Adelie
Torgersen,44.1,18.0,210,4000,male,Adelie
Biscoe,45.5,14.5,212,4750,female,Gentoo
Biscoe,41.7,14.7,210,4700,female,Gentoo
Dream,36.4,17.0,195,3325,female,Adelie
Biscoe,44.0,13.6,208,4350,female,Gentoo
Dream,46.8,16.5,189,3650,female,Chinstrap
Dream,41.1,19.0,182,3425,male,Adelie
Dream,46.6,17.8,193,3800,female,Chinstrap
Biscoe,37.9,18.6,193,2925,female,Adelie
Dream,52.0,18.1,201,4050,male,Chinstrap
Torgersen,40.3,18.0,195,3250,female,Adelie
Biscoe,37.6,19.1,194,3750,male,Adelie
Biscoe,45.7,13.9,214,4400,female,Gentoo
Biscoe,48.4,14.6,213,5850,male,Gentoo
Biscoe,40.1,18.9,188,4300,male,Adelie
Biscoe,45.1,14.5,207,5050,female,Gentoo
Biscoe,51.1,16.3,220,6000,male,Gentoo
Dream,51.3,19.2,193,3650,male,Chinstrap
Dream,39.2,21.1,196,4150,male,Adelie
Dream,51.9,19.5,206,3950,male,Chinstrap
Biscoe,46.2,14.5,209,4800,female,Gentoo
Biscoe,49.2,15.2,221,6300,male,Gentoo
Dream,39.5,16.7,178,3250,female,Adelie
Biscoe,46.8,14.3,215,4850,female,Gentoo
Torgersen,34.6,17.2,189,3200,female,Adelie
Biscoe,47.4,14.6,212,4725,female,Gentoo
Torgersen,46.0,21.5,194,4200,male,Adelie
Biscoe,47.2,13.7,214,4925,female,Gentoo
Biscoe,47.2,15.5,215,4975,female,Gentoo
Biscoe,37.9,18.6,172,3150,female,Adelie
Torgersen,36.7,19.3,193,3450,female,Adelie
Dream,45.6,19.4,194,3525,female,Chinstrap
Torgersen,39.2,19.6,195,4675,male,Adelie
Biscoe,46.4,15.0,216,4700,female,Gentoo
Dream,50.3,20.0,197,3300,male,Chinstrap
Biscoe,50.2,14.3,218,5700,male,Gentoo
Dream,52.8,20.0,205,4550,male,Chinstrap
Torgersen,39.1,18.7,181,3750,male,Adelie
Biscoe,37.8,20.0,190,4250,male,Adelie
Biscoe,41.1,19.1,188,4100,male,Adelie
Biscoe,47.5,14.0,212,4875,female,Gentoo
Torgersen,36.2,17.2,187,3150,female,Adelie
Torgersen,38.7,19.0,195,3450,female,Adelie
Dream,51.0,18.8,203,4100,male,Chinstrap
Dream,51.3,18.2,197,3750,male,Chinstrap
Biscoe,37.7,16.0,183,3075,female,Adelie
Biscoe,47.5,15.0,218,4950,female,Gentoo
Biscoe,45.2,16.4,223,5950,male,Gentoo
Torgersen,35.7,17.0,189,3350,female,Adelie
Dream,40.9,16.6,187,3200,female,Chinstrap
Dream,40.2,20.1,200,3975,male,Adelie
Biscoe,46.5,14.5,213,4400,female,Gentoo
Dream,49.3,19.9,203,4050,male,Chinstrap
Biscoe,39.6,20.7,191,3900,female,Adelie
Dream,35.6,17.5,191,3175,female,Adelie
Dream,36.5,18.0,182,3150,female,Adelie
Biscoe,46.8,15.4,215,5150,male,Gentoo
Dream,50.2,18.8,202,3800,male,Chinstrap
Dream,39.0,18.7,185,3650,male,Adelie
Dream,43.2,18.5,192,4100,male,Adelie
Biscoe,47.7,15.0,216,4750,female,Gentoo
Dream,40.7,17.0,190,3725,male,Adelie
Biscoe,45.5,13.7,214,4650,female,Gentoo
Biscoe,46.7,15.3,219,5200,male,Gentoo
Dream,40.8,18.9,208,4300,male,Adelie
Torgersen,35.9,16.6,190,3050,female,Adelie
Torgersen,33.5,19.0,190,3600,female,Adelie
Dream,45.5,17.0,196,3500,female,Chinstrap
Biscoe,45.2,15.8,215,5300,male,Gentoo
Dream,39.6,18.1,186,4450,male,Adelie
Dream,32.1,15.5,188,3050,female,Adelie
Biscoe,48.2,14.3,210,4600,female,Gentoo
Biscoe,49.3,15.7,217,5850,male,Gentoo
Biscoe,43.8,13.9,208,4300,female,Gentoo
Dream,41.1,18.1,205,4300,male,Adelie
Torgersen,38.8,17.6,191,3275,female,Adelie
Biscoe,43.6,13.9,217,4900,female,Gentoo
Dream,46.5,17.9,192,3500,female,Chinstrap
Biscoe,43.5,15.2,213,4650,female,Gentoo
Biscoe,46.5,14.8,217,5200,female,Gentoo
Biscoe,42.7,18.3,196,4075,male,Adelie
Biscoe,38.6,17.2,199,3750,female,Adelie
Biscoe,48.5,14.1,220,5300,male,Gentoo
Dream,52.7,19.8,197,3725,male,Chinstrap
Dream,50.7,19.7,203,4050,male,Chinstrap
Biscoe,35.7,16.9,185,3150,female,Adelie
Biscoe,37.7,18.7,180,3600,male,Adelie
Dream,46.4,18.6,190,3450,female,Chinstrap
Dream,50.8,19.0,210,4100,male,Chinstrap
Dream,46.9,16.6,192,2700,female,Chinstrap
Biscoe,52.2,17.1,228,5400,male,Gentoo
Dream,41.5,18.5,201,4000,male,Adelie
Biscoe,50.8,15.7,226,5200,male,Gentoo
Biscoe,48.7,15.1,222,5350,male,Gentoo
Dream,37.2,18.1,178,3900,male,Adelie
Dream,36.0,17.1,187,3700,female,Adelie
Dream,47.0,17.3,185,3700,female,Chinstrap
Dream,51.7,20.3,194,3775,male,Chinstrap
Biscoe,50.1,15.0,225,5000,male,Gentoo
Torgersen,36.6,17.8,185,3700,female,Adelie
Dream,45.4,18.7,188,3525,female,Chinstrap
Biscoe,49.4,15.8,216,4925,male,Gentoo
Biscoe,44.5,14.7,214,4850,female,Gentoo
Biscoe,43.4,14.4,218,4600,female,Gentoo
Dream,49.6,18.2,193,3775,male,Chinstrap
Biscoe,49.6,15.0,216,4750,male,Gentoo
Dream,46.2,17.5,187,3650,female,Chinstrap
Biscoe,38.8,17.2,180,3800,male,Adelie
Biscoe,49.1,15.0,228,5500,male,Gentoo
Torgersen,37.2,19.4,184,3900,male,Adelie
Biscoe,45.8,14.6,210,4200,female,Gentoo
Biscoe,41.1,18.2,192,4050,male,Adelie
Torgersen,34.6,21.1,198,4400,male,Adelie
Torgersen,34.4,18.4,184,3325,female,Adelie
Biscoe,46.4,15.6,221,5000,male,Gentoo
Dream,47.5,16.8,199,3900,female,Chinstrap
Biscoe,35.9,19.2,189,3800,female,Adelie
Biscoe,50.5,15.2,216,5000,female,Gentoo
Biscoe,48.6,16.0,230,5800,male,Gentoo
Dream,34.0,17.1,185,3400,female,Adelie
Biscoe,46.5,13.5,210,4550,female,Gentoo
Dream,40.3,18.5,196,4350,male,Adelie
Dream,35.7,18.0,202,3550,female,Adelie
Dream,45.2,16.6,191,3250,female,Chinstrap
Biscoe,48.1,15.1,209,5500,male,Gentoo
Dream,55.8,19.8,207,4000,male,Chinstrap
Dream,42.5,17.3,187,3350,female,Chinstrap
Dream,52.0,19.0,197,4150,male,Chinstrap
Dream,39.7,17.9,193,4250,male,Adelie
Torgersen,41.5,18.3,195,4300,male,Adelie
Torgersen,39.7,18.4,190,3900,male,Adelie
Dream,46.4,17.8,191,3700,female,Chinstrap
Biscoe,38.2,18.1,185,3950,male,Adelie
Biscoe,48.8,16.2,222,6000,male,Gentoo
Biscoe,47.3,15.3,222,5250,male,Gentoo
Biscoe,35.5,16.2,195,3350,female,Adelie
Torgersen,40.6,19.0,199,4000,male,Adelie
